online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Yes,No,NEW,0,BTM,Quick Bites,Chinese,300,Delivery,BTM
No,No,3.3/5,6,BTM,Quick Bites,"Biryani, Fast Food",300,Delivery,BTM
Yes,No,3.9/5,201,BTM,Quick Bites,"North Indian, Street Food",300,Delivery,BTM
Yes,No,3.7/5,127,Ejipura,"Takeaway, Delivery","Fast Food, Italian",300,Delivery,BTM
Yes,Yes,4.1/5,600,Koramangala 6th Block,Casual Dining,"Italian, North Indian, Healthy Food, Desserts","1,100",Delivery,BTM
Yes,No,NEW,0,JP Nagar,Delivery,"North Indian, South Indian, Chinese, Continental",500,Delivery,BTM
Yes,No,3.9/5,213,Koramangala 6th Block,Quick Bites,"Burger, Beverages, Rolls",400,Delivery,BTM
No,Yes,NEW,0,BTM,Quick Bites,"Fast Food, Chinese",200,Delivery,BTM
Yes,No,3.3/5,36,Koramangala 1st Block,Delivery,North Indian,400,Delivery,BTM
Yes,No,,0,BTM,Bakery,"Bakery, Desserts",300,Delivery,BTM
Yes,No,3.9/5,201,BTM,Quick Bites,"North Indian, Street Food",300,Delivery,BTM
Yes,No,3.7/5,127,Ejipura,"Takeaway, Delivery","Fast Food, Italian",300,Delivery,BTM
Yes,Yes,4.1/5,600,Koramangala 6th Block,Casual Dining,"Italian, North Indian, Healthy Food, Desserts","1,100",Delivery,BTM
Yes,No,NEW,0,JP Nagar,Delivery,"North Indian, South Indian, Chinese, Continental",500,Delivery,BTM
Yes,No,3.9/5,213,Koramangala 6th Block,Quick Bites,"Burger, Beverages, Rolls",400,Delivery,BTM
No,Yes,NEW,0,BTM,Quick Bites,"Fast Food, Chinese",200,Delivery,BTM
Yes,No,3.3/5,36,Koramangala 1st Block,Delivery,North Indian,400,Delivery,BTM
Yes,No,,0,BTM,Bakery,"Bakery, Desserts",300,Delivery,BTM
No,No,,0,BTM,Quick Bites,"North Indian, Chinese",300,Delivery,BTM
No,No,,0,BTM,Quick Bites,North Indian,300,Delivery,BTM
No,No,3.5/5,11,BTM,Quick Bites,"Biryani, Fast Food",300,Delivery,BTM
No,No,3.3/5,6,BTM,Quick Bites,"Biryani, Fast Food",300,Delivery,BTM
No,No,,0,BTM,Quick Bites,"North Indian, Chinese",300,Delivery,BTM
No,No,,0,BTM,Quick Bites,North Indian,300,Delivery,BTM
Yes,No,,0,BTM,Quick Bites,Biryani,300,Delivery,BTM
Yes,No,NEW,0,BTM,Quick Bites,Chinese,300,Delivery,BTM
Yes,No,,0,BTM,Quick Bites,Biryani,300,Delivery,BTM
No,No,,0,BTM,Dessert Parlor,Ice Cream,200,Desserts,BTM
No,No,,0,BTM,Dessert Parlor,Ice Cream,200,Desserts,BTM
No,No,,0,BTM,Quick Bites,North Indian,300,Dine-out,BTM
No,No,,0,BTM,Quick Bites,North Indian,400,Dine-out,BTM
Yes,No,NEW,0,BTM,Quick Bites,Chinese,300,Dine-out,BTM
Yes,No,NEW,0,BTM,Quick Bites,North Indian,200,Dine-out,BTM
No,No,,0,BTM,Quick Bites,Biryani,200,Dine-out,BTM
Yes,No,,0,BTM,Quick Bites,Biryani,300,Dine-out,BTM
Yes,No,NEW,0,BTM,Quick Bites,Chinese,300,Dine-out,BTM
No,No,,0,BTM,Quick Bites,"North Indian, Chinese",300,Dine-out,BTM
No,No,,0,BTM,Quick Bites,"North Indian, Chinese",300,Dine-out,BTM
No,No,,0,BTM,Quick Bites,South Indian,200,Dine-out,BTM
Yes,No,NEW,0,BTM,Quick Bites,North Indian,200,Dine-out,BTM
No,No,,0,BTM,Quick Bites,North Indian,400,Dine-out,BTM
No,No,,0,BTM,Quick Bites,Arabian,300,Dine-out,BTM
No,No,,0,BTM,Quick Bites,Arabian,300,Dine-out,BTM
No,No,,0,BTM,Quick Bites,"Fast Food, Beverages",300,Dine-out,BTM
No,No,,0,BTM,Quick Bites,South Indian,200,Dine-out,BTM
Yes,No,,0,BTM,Quick Bites,Biryani,300,Dine-out,BTM
No,No,,0,BTM,Quick Bites,North Indian,300,Dine-out,BTM
No,No,,0,BTM,Quick Bites,"Fast Food, Beverages",300,Dine-out,BTM
No,No,,0,BTM,Quick Bites,South Indian,200,Dine-out,BTM
No,No,,0,BTM,Quick Bites,Biryani,200,Dine-out,BTM
No,No,,0,Bommanahalli,Quick Bites,South Indian,200,Dine-out,BTM
No,No,,0,Bommanahalli,Quick Bites,South Indian,200,Dine-out,BTM
No,Yes,4.5/5,6349,Koramangala 7th Block,"Bar, Casual Dining","Mediterranean, Pizza, Continental, Seafood, Salad","1,600",Pubs and bars,BTM
No,Yes,4.5/5,6349,Koramangala 7th Block,"Bar, Casual Dining","Mediterranean, Pizza, Continental, Seafood, Salad","1,600",Pubs and bars,BTM
Yes,No,4.1/5,41,Church Street,Dessert Parlor,"Desserts, Ice Cream",150,Delivery,Church Street
Yes,No,3.4/5,11,Koramangala 5th Block,Quick Bites,"Mangalorean, South Indian",300,Delivery,Church Street
Yes,No,4.4/5,223,MG Road,Quick Bites,"Burger, Continental, Italian, Beverages",700,Delivery,Church Street
Yes,No,3.2/5,23,Brigade Road,Casual Dining,"Seafood, Mangalorean, Chinese",700,Delivery,Church Street
Yes,No,4.4/5,635,Residency Road,Dessert Parlor,"Ice Cream, Desserts",400,Delivery,Church Street
Yes,No,3.7/5,80,Ulsoor,Quick Bites,Arabian,300,Delivery,Church Street
Yes,Yes,4.4/5,1842,Lavelle Road,Casual Dining,"Italian, Salad","1,500",Delivery,Church Street
Yes,No,,0,Brigade Road,"Food Court, Quick Bites","Pizza, Fast Food",400,Delivery,Church Street
No,No,4.2/5,176,Frazer Town,Casual Dining,"Continental, Burger, Pizza, Steak",,Delivery,Church Street
Yes,Yes,4.0/5,2112,Brigade Road,Club,"Chinese, Continental, North Indian, Burger, Pizza","2,000",Delivery,Church Street
Yes,Yes,4.2/5,2924,Church Street,Casual Dining,"Italian, American, Steak, Continental, BBQ, Salad","1,000",Delivery,Church Street
Yes,No,NEW,0,Shanti Nagar,"Takeaway, Delivery","North Indian, South Indian",250,Delivery,Church Street
Yes,No,3.6/5,112,Richmond Road,Quick Bites,"Kebab, North Indian, Arabian, Chinese",500,Delivery,Church Street
Yes,Yes,4.1/5,525,Indiranagar,Casual Dining,"Chinese, Vietnamese, Momos, Thai",800,Delivery,Church Street
Yes,Yes,4.3/5,3485,Lavelle Road,"Pub, Microbrewery","Continental, BBQ, Finger Food","1,700",Delivery,Church Street
Yes,No,4.2/5,382,Ulsoor,Cafe,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",500,Delivery,Church Street
Yes,No,NEW,0,Brigade Road,Quick Bites,"South Indian, Biryani",200,Delivery,Church Street
Yes,Yes,4.3/5,394,Brigade Road,"Bar, Casual Dining","Finger Food, Continental, Pizza","1,600",Delivery,Church Street
Yes,No,3.4/5,7,Ulsoor,Quick Bites,"Asian, Chinese, Momos, Fast Food, Indonesian, Korean",500,Delivery,Church Street
Yes,No,,0,Frazer Town,Dessert Parlor,Desserts,250,Delivery,Church Street
Yes,No,3.5/5,10,Frazer Town,"Takeaway, Delivery","Desserts, Beverages",300,Delivery,Church Street
Yes,No,4.1/5,402,Cunningham Road,Casual Dining,"North Indian, Mughlai, Arabian, Chinese",750,Delivery,Church Street
Yes,No,,0,Malleshwaram,Confectionery,Desserts,200,Delivery,Church Street
Yes,No,4.3/5,1708,Church Street,Lounge,"Continental, Mediterranean, European","1,300",Delivery,Church Street
Yes,No,3.4/5,8,Ulsoor,Quick Bites,Chinese,300,Delivery,Church Street
Yes,No,,0,Frazer Town,Delivery,South Indian,500,Delivery,Church Street
Yes,No,4.2/5,1207,Indiranagar,Cafe,"Cafe, Healthy Food, Salad, Beverages",600,Delivery,Church Street
No,No,,0,Richmond Road,Quick Bites,"North Indian, Fast Food",300,Delivery,Church Street
No,No,,0,Richmond Road,Quick Bites,"North Indian, Fast Food",300,Delivery,Church Street
Yes,No,,0,Frazer Town,Delivery,North Indian,500,Delivery,Church Street
Yes,No,,0,Brigade Road,Casual Dining,"Chinese, Tibetan",600,Delivery,Church Street
No,No,,0,Frazer Town,Delivery,Chinese,600,Delivery,Church Street
Yes,No,,0,Brigade Road,Food Court,"South Indian, Street Food",400,Delivery,Church Street
Yes,No,3.3/5,8,Shanti Nagar,Quick Bites,South Indian,150,Delivery,Church Street
Yes,No,3.3/5,6,Frazer Town,Quick Bites,"South Indian, Biryani",300,Delivery,Church Street
Yes,No,3.6/5,32,Frazer Town,Quick Bites,"North Indian, Mughlai",700,Delivery,Church Street
Yes,No,,0,Shivajinagar,"Cafe, Bakery","Cafe, Bakery",400,Delivery,Church Street
Yes,No,3.4/5,7,Ulsoor,Quick Bites,"Asian, Chinese, Momos, Fast Food, Indonesian, Korean",500,Delivery,Church Street
Yes,No,,0,Brigade Road,Casual Dining,"Chinese, Tibetan",600,Delivery,Church Street
No,No,,0,Frazer Town,Delivery,Chinese,600,Delivery,Church Street
Yes,No,,0,Brigade Road,Food Court,"South Indian, Street Food",400,Delivery,Church Street
Yes,No,3.3/5,8,Shanti Nagar,Quick Bites,South Indian,150,Delivery,Church Street
Yes,No,3.4/5,8,Ulsoor,Quick Bites,Chinese,300,Delivery,Church Street
Yes,No,3.3/5,6,Frazer Town,Quick Bites,"South Indian, Biryani",300,Delivery,Church Street
Yes,No,3.2/5,23,Brigade Road,Casual Dining,"Seafood, Mangalorean, Chinese",700,Delivery,Church Street
Yes,No,3.6/5,32,Frazer Town,Quick Bites,"North Indian, Mughlai",700,Delivery,Church Street
Yes,No,,0,Frazer Town,Dessert Parlor,Desserts,250,Delivery,Church Street
Yes,No,,0,Shivajinagar,"Cafe, Bakery","Cafe, Bakery",400,Delivery,Church Street
Yes,No,4.4/5,635,Residency Road,Dessert Parlor,"Ice Cream, Desserts",400,Delivery,Church Street
Yes,No,,0,Frazer Town,Delivery,South Indian,500,Delivery,Church Street
Yes,No,3.5/5,10,Frazer Town,"Takeaway, Delivery","Desserts, Beverages",300,Delivery,Church Street
Yes,No,,0,Brigade Road,"Food Court, Quick Bites","Pizza, Fast Food",400,Delivery,Church Street
Yes,No,,0,Malleshwaram,Confectionery,Desserts,200,Delivery,Church Street
Yes,No,NEW,0,Brigade Road,Quick Bites,"South Indian, Biryani",200,Delivery,Church Street
Yes,No,4.1/5,402,Cunningham Road,Casual Dining,"North Indian, Mughlai, Arabian, Chinese",750,Delivery,Church Street
Yes,No,NEW,0,Shanti Nagar,"Takeaway, Delivery","North Indian, South Indian",250,Delivery,Church Street
Yes,Yes,4.3/5,394,Brigade Road,"Bar, Casual Dining","Finger Food, Continental, Pizza","1,600",Delivery,Church Street
Yes,No,4.4/5,223,MG Road,Quick Bites,"Burger, Continental, Italian, Beverages",700,Delivery,Church Street
Yes,No,3.6/5,112,Richmond Road,Quick Bites,"Kebab, North Indian, Arabian, Chinese",500,Delivery,Church Street
Yes,Yes,4.1/5,525,Indiranagar,Casual Dining,"Chinese, Vietnamese, Momos, Thai",800,Delivery,Church Street
Yes,No,4.2/5,1207,Indiranagar,Cafe,"Cafe, Healthy Food, Salad, Beverages",600,Delivery,Church Street
Yes,No,4.2/5,382,Ulsoor,Cafe,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",500,Delivery,Church Street
Yes,No,4.3/5,1708,Church Street,Lounge,"Continental, Mediterranean, European","1,300",Delivery,Church Street
No,No,4.2/5,176,Frazer Town,Casual Dining,"Continental, Burger, Pizza, Steak",,Delivery,Church Street
Yes,No,3.7/5,80,Ulsoor,Quick Bites,Arabian,300,Delivery,Church Street
Yes,No,3.4/5,11,Koramangala 5th Block,Quick Bites,"Mangalorean, South Indian",300,Delivery,Church Street
Yes,Yes,4.2/5,2924,Church Street,Casual Dining,"Italian, American, Steak, Continental, BBQ, Salad","1,000",Delivery,Church Street
Yes,No,4.1/5,41,Church Street,Dessert Parlor,"Desserts, Ice Cream",150,Delivery,Church Street
Yes,Yes,4.0/5,2112,Brigade Road,Club,"Chinese, Continental, North Indian, Burger, Pizza","2,000",Delivery,Church Street
Yes,Yes,4.4/5,1842,Lavelle Road,Casual Dining,"Italian, Salad","1,500",Delivery,Church Street
Yes,Yes,4.3/5,3485,Lavelle Road,"Pub, Microbrewery","Continental, BBQ, Finger Food","1,700",Delivery,Church Street
Yes,No,,0,Frazer Town,Delivery,North Indian,500,Delivery,Church Street
No,No,,0,Richmond Road,Quick Bites,"North Indian, Fast Food",300,Dine-out,Church Street
No,No,,0,Richmond Road,Quick Bites,"North Indian, Fast Food",300,Dine-out,Church Street
No,No,,0,Vasanth Nagar,Quick Bites,Biryani,200,Dine-out,Church Street
No,No,,0,Vasanth Nagar,Quick Bites,Biryani,200,Dine-out,Church Street
Yes,No,4.0/5,65,Electronic City,Beverage Shop,"Beverages, Sandwich, Fast Food",200,Delivery,Electronic City
Yes,Yes,3.8/5,88,Electronic City,Casual Dining,"North Indian, Chinese",800,Delivery,Electronic City
Yes,No,4.0/5,65,Electronic City,Beverage Shop,"Beverages, Sandwich, Fast Food",200,Delivery,Electronic City
Yes,Yes,3.8/5,88,Electronic City,Casual Dining,"North Indian, Chinese",800,Delivery,Electronic City
Yes,No,NEW,0,Electronic City,"Takeaway, Delivery",North Indian,300,Delivery,Electronic City
Yes,No,NEW,0,Electronic City,"Takeaway, Delivery",North Indian,300,Delivery,Electronic City
No,No,NEW,0,Electronic City,Quick Bites,"Fast Food, Beverages",200,Delivery,Electronic City
No,No,NEW,0,Electronic City,Quick Bites,"Fast Food, Beverages",200,Delivery,Electronic City
No,No,,0,Electronic City,Bakery,"Bakery, Desserts",200,Delivery,Electronic City
No,No,,0,Electronic City,Quick Bites,North Indian,300,Delivery,Electronic City
No,No,,0,Electronic City,Bakery,"Bakery, Desserts",200,Delivery,Electronic City
No,No,,0,Electronic City,Quick Bites,North Indian,300,Delivery,Electronic City
No,No,,0,Electronic City,Quick Bites,"South Indian, Biryani",300,Delivery,Electronic City
No,No,,0,Electronic City,Quick Bites,South Indian,300,Delivery,Electronic City
No,No,,0,Electronic City,Quick Bites,South Indian,300,Delivery,Electronic City
No,No,,0,Electronic City,Quick Bites,"South Indian, Biryani",300,Delivery,Electronic City
No,No,,0,Electronic City,Quick Bites,South Indian,200,Delivery,Electronic City
No,No,,0,Electronic City,Quick Bites,"North Indian, Chinese",350,Delivery,Electronic City
No,No,,0,Electronic City,Quick Bites,Fast Food,100,Delivery,Electronic City
No,No,,0,Electronic City,Quick Bites,"North Indian, Chinese",350,Delivery,Electronic City
No,No,,0,Electronic City,Quick Bites,South Indian,200,Delivery,Electronic City
No,No,,0,Electronic City,Quick Bites,Fast Food,100,Delivery,Electronic City
No,No,,0,Electronic City,Quick Bites,Biryani,300,Delivery,Electronic City
No,No,,0,Electronic City,Quick Bites,Biryani,300,Delivery,Electronic City
No,No,,0,Electronic City,Quick Bites,North Indian,300,Delivery,Electronic City
No,No,,0,Electronic City,Bakery,"Bakery, Desserts",200,Desserts,Electronic City
No,No,,0,Electronic City,Bakery,"Bakery, Desserts",200,Desserts,Electronic City
No,No,,0,Electronic City,Quick Bites,South Indian,150,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,South Indian,100,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,South Indian,150,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,South Indian,250,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,"South Indian, Biryani",300,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,North Indian,300,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,North Indian,300,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,Fast Food,100,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,"South Indian, Biryani",300,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,South Indian,150,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,South Indian,300,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,Biryani,300,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,Biryani,200,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,North Indian,300,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,"North Indian, Chinese",350,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,South Indian,300,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,"South Indian, Biryani",300,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,South Indian,200,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,Biryani,200,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,"North Indian, Chinese",350,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,Fast Food,100,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,"North Indian, Chinese",350,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,North Indian,350,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,South Indian,200,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,North Indian,350,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,South Indian,100,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,Fast Food,100,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,South Indian,200,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,South Indian,250,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,North Indian,350,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,South Indian,150,Dine-out,Electronic City
No,No,,0,Electronic City,Quick Bites,Biryani,300,Dine-out,Electronic City
Yes,No,,0,Frazer Town,Delivery,North Indian,500,Delivery,Frazer Town
Yes,No,,0,Frazer Town,Delivery,North Indian,500,Delivery,Frazer Town
No,No,,0,Vasanth Nagar,Quick Bites,Biryani,200,Dine-out,Frazer Town
No,No,,0,Vasanth Nagar,Quick Bites,Biryani,200,Dine-out,Frazer Town
No,No,,0,HSR,Quick Bites,"North Indian, Chinese",400,Delivery,HSR
No,No,,0,HSR,"Takeaway, Delivery",North Indian,400,Delivery,HSR
No,No,,0,HSR,Delivery,North Indian,300,Delivery,HSR
No,No,,0,HSR,Quick Bites,"North Indian, Chinese",400,Delivery,HSR
No,No,,0,HSR,"Takeaway, Delivery",North Indian,400,Delivery,HSR
